customer_id,first_name,last_name,address,pincode,phone_number,customer_joining_date
4986,Balveer,Choudhury,"31/30, Devan Nagar, Anand 799736",799736,0,2021-04-20
6642,Kalpit,Divan,"15, Zacharia Nagar, Buxar-919980",919980,0,2022-05-14
7763,Dominic,Radhakrishnan,"834, Rajagopal Road, Amaravati 801199",801199,0,2022-02-28
2420,Raghav,Ramaswamy,"H.No. 24, Memon Path, Nagercoil 265985",265985,0,2022-01-21
8576,Zinal,Venkataraman,"832, Majumdar Road, Ongole-286732",286732,0,2022-07-20
1637,Anita,Barman,"H.No. 88, Upadhyay Chowk, Orai 493235",493235,29562838,2020-05-18
2482,Rushil,Datta,"H.No. 84, Gera, Bhilwara 569429",569429,0,2021-09-03
9456,Zarna,Ratti,"13, Balan Street, Medininagar-357773",357773,0,2020-11-20
8164,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",518831,0,2022-04-21
7038,Oni,Reddy,"175, Bhargava Ganj, Dhule 885357",885357,0,2021-01-01
4045,Aadhya,Jha,"H.No. 854, Gulati Chowk, Tadipatri-177232",177232,0,2021-10-12
6317,Riya,Bassi,"23/159, Parmar Zila, Sri Ganganagar-469379",469379,0,2021-05-17
7841,Jagdish,Shan,"76/97, Samra Road, Motihari-476980",476980,0,2022-07-29
7350,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04
1489,Faris,Nigam,"404, Biswas Road, Bareilly-682816",682816,0,2021-01-01
3346,Indali,Naidu,"54/055, Apte Street, Bokaro-874973",874973,0,2020-08-26
8341,Jatin,Dhar,"28/678, Luthra Chowk, Haridwar-138699",138699,0,2020-01-01
5253,Jagdish,Sodhi,"H.No. 57, Sarma Chowk, Jorhat-960770",960770,0,2020-04-20
