id,first_name,last_name,manager_id,is_manager,address,pincode,joining_date
1.0,Omisha,Wadhwa,17.0,N,"593, Konda, Korba 897360",733358.0,2021-01-04
2.0,Gayathri,Choudhary,9.0,N,"85/31, Raman Circle, Bhimavaram 176749",821832.0,2017-11-06
3.0,,Naik,13.0,N,"913, Mall Road, Thoothukudi 295616",564833.0,2022-02-03
4.0,Vritti,512.0008081218227,1.0,N,"60, Varghese Circle, Jaipur 509930",297838.0,2021-01-05
5.0,Ekbal,Dutt,19.0,N,"83/37, Mody, Belgaum-992615",651738.0,277.2716468479187
945.96429360415,Guneet,Keer,possimus,N,"79/02, Lall Ganj, Junagadh-836106",19492.0,2015-08-04
7.0,Dayita,Dave,8.0,54.13554117664832,50.60791412460042,175153.0,2019-05-25
8.0,Bachittar,Shah,,Y,"H.No. 070, Khosla Zila, Katni-091611",,2023-06-04
9.0,Jairaj,Zachariah,,Y,"H.No. 34, Oommen Marg, Bhavnagar 899790",304699.0,2021-09-04
10.0,Anita,Gokhale,11.0,N,"00/70, Dash Path, Khandwa-727746",608274.0,2018-07-30
11.0,Dalbir,Khatri,,Y,"H.No. 14, Banik Chowk, Thoothukudi 325185",480023.0,
,Mugdha,Kohli,,N,"64/132, Andra Zila, Dehradun-069307",909474.0,2018-01-12
13.0,707.546935999711,Nazareth,7.0,N,"76/61, Sur Circle, Ratlam 397055",provident,2022-02-03
14.0,Arjun,,19.0,N,"59/90, Kuruvilla Zila, Suryapet 793514",193943.0,2016-12-22
Darpan,15.0,Bhalla,11.0,N,"94, Goda Ganj, Tirupati-857504",499350.0,2022-08-06
16.0,Oviya,Raja,15.0,N,"H.No. 03, Date Road, Korba 556874",736881.0,2015-09-14
17.0,Netra,Oommen,20.0,N,"H.No. 57, Shah Nagar, Ghaziabad-741319",872645.0,2018-03-27
18.0,Anvi,Verma,8.0,N,,660742.0,2023-05-03
19.0,Nitara,Kuruvilla,8.0,,"96, Padmanabhan Zila, Satna 121425",729506.0,2021-07-09
20.0,Lakshmi,Kaul,12.0,N,"32, Pandey Nagar, Suryapet 893738",156544.0,2015-08-09
