customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,additional_column,first_name,last_name,address,pincode,phone_number,customer_joining_date,expiry_date,store_address,store_manager_name,id,manager_id,is_manager,joining_date,sales_person_first_name,sales_person_last_name,sales_person_address,sales_person_pincode
1637,100,Shampoo,2020-10-24,19,413,11,4543,Reveal ask suffer.,Anita,Barman,"H.No. 88, Upadhyay Chowk, Orai 493235",493235,29562838,2020-05-18,2025-08-20,"30, Saraf Circle, Jamnagar 351217",Arjun Pathak,19,8.0,N,2021-07-09,Nitara,Kuruvilla,"96, Padmanabhan Zila, Satna 121425",729506
6317,16,Biscuits,2022-01-01,9,253,17,4301,Something whatever.,Riya,Bassi,"23/159, Parmar Zila, Sri Ganganagar-469379",469379,0,2021-05-17,2024-12-04,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,9,,Y,2021-09-04,Jairaj,Zachariah,"H.No. 34, Oommen Marg, Bhavnagar 899790",304699
2420,16,Toothpaste,2021-10-07,12,224,16,3584,Painting more care.,Raghav,Ramaswamy,"H.No. 24, Memon Path, Nagercoil 265985",265985,0,2022-01-21,2024-10-28,"080, Prashad Ganj, Tinsukia 355765",Chameli Nagi,12,6.0,N,2018-01-12,Mugdha,Kohli,"64/132, Andra Zila, Dehradun-069307",909474
7350,22,Vegetable Oil,2020-01-04,4,460,7,3220,TV remember.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2025-05-01,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,4,1.0,N,2021-01-05,Vritti,Golla,"60, Varghese Circle, Jaipur 509930",297838
7350,22,Vegetable Oil,2020-01-04,4,460,7,3220,TV remember.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2024-10-02,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,4,1.0,N,2021-01-05,Vritti,Golla,"60, Varghese Circle, Jaipur 509930",297838
7350,22,Vegetable Oil,2020-01-04,4,460,7,3220,TV remember.,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",172013,0,2021-12-04,2025-07-22,"98/834, Bora Ganj, Dharmavaram-898570",Anamika Karnik,4,1.0,N,2021-01-05,Vritti,Golla,"60, Varghese Circle, Jaipur 509930",297838
2420,93,Coffee,2021-02-07,15,61,14,854,Remain follow since.,Raghav,Ramaswamy,"H.No. 24, Memon Path, Nagercoil 265985",265985,0,2022-01-21,2024-11-26,"879, Iyer Street, Jammu 369560",Ayaan Baral,15,11.0,N,2022-08-06,Darpan,Bhalla,"94, Goda Ganj, Tirupati-857504",499350
2482,4,Vegetable Oil,2023-02-26,8,460,6,2760,Although model.,Rushil,Datta,"H.No. 84, Gera, Bhilwara 569429",569429,0,2021-09-03,2025-05-01,"85/880, Kapadia Path, Gulbarga 143164",Jatin Vasa,8,,Y,2023-06-04,Bachittar,Shah,"H.No. 070, Khosla Zila, Katni-091611",426053
2482,4,Vegetable Oil,2023-02-26,8,460,6,2760,Although model.,Rushil,Datta,"H.No. 84, Gera, Bhilwara 569429",569429,0,2021-09-03,2024-10-02,"85/880, Kapadia Path, Gulbarga 143164",Jatin Vasa,8,,Y,2023-06-04,Bachittar,Shah,"H.No. 070, Khosla Zila, Katni-091611",426053
2482,4,Vegetable Oil,2023-02-26,8,460,6,2760,Although model.,Rushil,Datta,"H.No. 84, Gera, Bhilwara 569429",569429,0,2021-09-03,2025-07-22,"85/880, Kapadia Path, Gulbarga 143164",Jatin Vasa,8,,Y,2023-06-04,Bachittar,Shah,"H.No. 070, Khosla Zila, Katni-091611",426053
8576,72,Vegetable Oil,2023-05-12,4,460,12,5520,Happen whatever.,Zinal,Venkataraman,"832, Majumdar Road, Ongole-286732",286732,0,2022-07-20,2025-05-01,"16, Subramanian, Dindigul-302513",Shravya Dua,4,1.0,N,2021-01-05,Vritti,Golla,"60, Varghese Circle, Jaipur 509930",297838
8576,72,Vegetable Oil,2023-05-12,4,460,12,5520,Happen whatever.,Zinal,Venkataraman,"832, Majumdar Road, Ongole-286732",286732,0,2022-07-20,2024-10-02,"16, Subramanian, Dindigul-302513",Shravya Dua,4,1.0,N,2021-01-05,Vritti,Golla,"60, Varghese Circle, Jaipur 509930",297838
