customer_id,first_name,last_name,address,pincode,phone_number,customer_joining_date
4986,Balveer,Choudhury,"31/30, Devan Nagar, Anand 799736",376853,+913000656779,2021-04-20
6642,Kalpit,Divan,"15, Zacharia Nagar, Buxar-919980",331701,+911454391537,2022-05-14
7763,Dominic,Radhakrishnan,"834, Rajagopal Road, Amaravati 801199",351147,1346045138,2022-02-28
2420,Raghav,Ramaswamy,"H.No. 24, Memon Path, Nagercoil 265985",668002,06956574158,2022-01-21
8576,Zinal,Venkataraman,"832, Majumdar Road, Ongole-286732",705304,3399052109,2022-07-20
1637,Anita,Barman,"H.No. 88, Upadhyay Chowk, Orai 493235",485277,0029562838,2020-05-18
2482,Rushil,Datta,"H.No. 84, Gera, Bhilwara 569429",006233,+919563687082,2021-09-03
2366,Falan,Dyal,"83/055, Keer Zila, Sangli-Miraj & Kupwad 579300",800976,+919195103295,2020-12-04
5254,Nathan,Bhavsar,"17, Ghose Chowk, Raebareli 243671",283282,07260407415,2023-04-28
9456,Zarna,Ratti,"13, Balan Street, Medininagar-357773",914256,0174127259,2020-11-20
8164,Aachal,Rau,"H.No. 52, Nanda Circle, Ahmednagar 518831",434197,08548828062,2022-04-21
6319,Max,Ramachandran,"50/82, Soman Ganj, Hazaribagh 233039",979848,06088517854,2020-03-25
8603,Anirudh,Yadav,"46/96, Lad Marg, Bareilly-531748",968536,09467400130,2021-12-24
7038,Oni,Reddy,"175, Bhargava Ganj, Dhule 885357",194099,06266783729,2021-09-29
4045,Aadhya,Jha,"H.No. 854, Gulati Chowk, Tadipatri-177232",148398,9778070448,2021-10-12
8236,Wazir,Patla,"42/047, Wagle Road, Karnal-622105",487499,+915507471565,2022-02-07
6317,Riya,Bassi,"23/159, Parmar Zila, Sri Ganganagar-469379",281648,+916374678740,2021-05-17
7841,Jagdish,Shan,"76/97, Samra Road, Motihari-476980",386800,01909943410,2022-07-29
1405,Advik,Venkataraman,"96/31, Viswanathan Chowk, South Dumdum-382071",187990,00255132491,2020-01-31
7350,Gautam,Palla,"H.No. 31, Kashyap, Bally 172013",763900,08203031333,2021-12-04
1489,Faris,Nigam,"404, Biswas Road, Bareilly-682816",411987,+914716418684,2020-01-25
3346,Indali,Naidu,"54/055, Apte Street, Bokaro-874973",901224,06847452734,2020-08-26
6882,Rachita,Char,"84/774, Om Zila, Gangtok-034854",447450,+913908644331,2022-09-10
8341,Jatin,Dhar,"28/678, Luthra Chowk, Haridwar-138699",864599,3211957823,2020-01-01
5253,Jagdish,Sodhi,"H.No. 57, Sarma Chowk, Jorhat-960770",662731,+912600373450,2020-04-20
